id,emit_date,emit_ts,ticker,setup,grade,regime,entry,stop,t1,t2,rr,risk_per_share,status,exit_date,exit_price,realized_R,mfe_R,mae_R,hold_days,exit_reason,source
sig_20260530_VRT_b228dc,2026-05-30,2026-05-30 00:20:08.353305,VRT,PULLBACK,B,,315.48,302.43,379.93,409.17,6.06,13.050000000000011,open,,,,,,,,live
sig_20260530_NVDA_bff700,2026-05-30,2026-05-30 00:20:08.361627,NVDA,TREND_LEADER,B,,212.65,206.83,236.54,248.25,5.11,5.819999999999993,open,,,,,,,,live
sig_20260530_COHR_62cdde,2026-05-30,2026-05-30 00:20:08.370821,COHR,TREND_LEADER,B,,358.94,329.48,413.0,456.33,2.57,29.45999999999998,open,,,,,,,,live
rep_20250910_AAOI,2025-09-10,2026-05-30 02:57:38.825823,AAOI,TREND_LEADER,C,replay,27.72,22.25,28.03,44.5,0.06,5.4723,won,2025-09-16,27.88,0.028,0.38,-0.31,6,stop_after_t1,replay
rep_20250915_AAOI,2025-09-15,2026-05-30 02:57:38.851021,AAOI,TREND_LEADER,C,replay,29.56,24.3,29.8,44.5,0.05,5.263,won,2025-09-18,29.68,0.023,0.163,-0.43,3,stop_after_t1,replay
rep_20250918_AAOI,2025-09-18,2026-05-30 02:57:38.861674,AAOI,TREND_LEADER,C,replay,29.04,23.92,30.42,44.5,0.27,5.1225,won,2025-09-23,29.73,0.135,0.408,-0.277,5,stop_after_t1,replay
rep_20250923_AAOI,2025-09-23,2026-05-30 02:57:38.872848,AAOI,TREND_LEADER,C,replay,28.06,23.82,31.13,44.5,0.72,4.2442,won,2025-10-10,29.59,0.362,1.684,-0.771,17,stop_after_t1,replay
rep_20251001_AAOI,2025-10-01,2026-05-30 02:57:38.884434,AAOI,TREND_LEADER,C,replay,28.42,24.28,31.13,44.5,0.65,4.1435,won,2025-10-10,29.77,0.327,1.638,-0.374,9,stop_after_t1,replay
rep_20251006_AAOI,2025-10-06,2026-05-30 02:57:38.893034,AAOI,TREND_LEADER,C,replay,33.79,28.04,34.47,44.5,0.12,5.7466,won,2025-10-08,34.13,0.059,0.144,-0.7,2,stop_after_t1,replay
rep_20251009_AAOI,2025-10-09,2026-05-30 02:57:38.900932,AAOI,TREND_LEADER,C,replay,32.37,25.86,34.62,44.5,0.35,6.5086,won,2025-10-13,33.49,0.173,0.435,-0.806,4,stop_after_t1,replay
rep_20251017_AAOI,2025-10-17,2026-05-30 02:57:38.909848,AAOI,TREND_LEADER,C,replay,31.92,25.81,35.2,44.5,0.54,6.1119,won,2025-10-22,33.56,0.268,0.643,-0.502,5,stop_after_t1,replay
rep_20251022_AAOI,2025-10-22,2026-05-30 02:57:38.918203,AAOI,TREND_LEADER,C,replay,29.98,25.72,35.85,44.5,1.38,4.2504,won,2025-11-04,32.91,0.689,2.115,-0.418,13,stop_after_t1,replay
rep_20251027_AAOI,2025-10-27,2026-05-30 02:57:38.9268,AAOI,TREND_LEADER,C,replay,37.22,28.64,37.68,44.75,0.05,8.5832,won,2025-10-30,37.45,0.027,0.206,-0.364,3,stop_after_t1,replay
rep_20251030_AAOI,2025-10-30,2026-05-30 02:57:38.937676,AAOI,TREND_LEADER,C,replay,35.07,28.06,38.99,44.5,0.56,7.0139,lost,2025-11-07,28.06,-1.0,0.275,-1.471,8,stop,replay
rep_20251107_AAOI,2025-11-07,2026-05-30 02:57:38.947359,AAOI,PULLBACK,B,replay,28.57,23.91,38.99,44.5,2.24,4.6581,lost,2025-11-11,23.91,-1.0,-0.112,-1.084,4,stop,replay
